"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE"
"glibc","2.24","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","./COPYING ./COPYING.LIB ./LICENSES","glibc-2.24.tar.xz","http://ftpmirror.gnu.org/libc"
"linux-headers","3.10.105","GPL-2.0","COPYING","linux-3.10.105.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v3.x"
"dash","0.5.8","BSD-3-Clause, GPL-2.0+ (mksignames.c)","COPYING","dash_0.5.8.orig.tar.gz","http://snapshot.debian.org/archive/debian/20141023T043132Z/pool/main/d/dash"
"gdb","7.11.1","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-7.11.1.tar.xz","http://ftpmirror.gnu.org/gdb"
"buildroot","2017.05","GPL-2.0+","COPYING","not saved","not saved"
"gcc-final","5.4.0","unknown","","gcc-5.4.0.tar.bz2","http://ftpmirror.gnu.org/gcc/gcc-5.4.0"
"gawk","4.1.4","GPL-3.0+","COPYING","gawk-4.1.4.tar.xz","http://ftpmirror.gnu.org/gawk"
"gcc-initial","5.4.0","unknown","","gcc-5.4.0.tar.bz2","http://ftpmirror.gnu.org/gcc/gcc-5.4.0"
"binutils","2.27","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.27.tar.bz2","http://ftpmirror.gnu.org/binutils"
"gmp","6.1.2","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.1.2.tar.xz","http://ftpmirror.gnu.org/gmp"
"m4","1.4.18","GPL-3.0+","COPYING","m4-1.4.18.tar.xz","http://ftpmirror.gnu.org/m4"
"mpc","1.0.3","LGPL-3.0+","COPYING.LESSER","mpc-1.0.3.tar.gz","http://ftpmirror.gnu.org/mpc"
"mpfr","3.1.5","LGPL-3.0+","COPYING.LESSER","mpfr-3.1.5.tar.xz","http://www.mpfr.org/mpfr-3.1.5"
"autoconf","2.69","GPL-3.0+ with exceptions","COPYINGv3 COPYING.EXCEPTION","autoconf-2.69.tar.xz","http://ftpmirror.gnu.org/autoconf"
"libtool","2.4.6","GPL-2.0+","COPYING","libtool-2.4.6.tar.xz","http://ftpmirror.gnu.org/libtool"
"automake","1.15","GPL-2.0+","COPYING","automake-1.15.tar.xz","http://ftpmirror.gnu.org/automake"
"gdb","7.11.1","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-7.11.1.tar.xz","http://ftpmirror.gnu.org/gdb"
"expat","2.2.0","MIT","COPYING","expat-2.2.0.tar.bz2","http://downloads.sourceforge.net/project/expat/expat/2.2.0"
"pkgconf","0.9.12","pkgconf license","COPYING","pkgconf-0.9.12.tar.bz2","https://github.com/pkgconf/pkgconf/releases/download/pkgconf-0.9.12"
"ncurses","6.0","MIT with advertising clause","README","ncurses-6.0.tar.gz","http://ftpmirror.gnu.org/ncurses"
